global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),angle
1691507137.0394993,14708704.0,317.0,314.0,
1691507137.0394993,14710272.0,316.0,316.0,
1691507137.0865593,14711844.0,316.0,324.0,
1691507137.0865593,14713412.0,317.0,339.0,
1691507137.0865593,14714980.0,320.0,354.0,
1691507137.0875893,14716552.0,323.0,368.0,
1691507137.0875893,14718120.0,324.0,370.0,
1691507137.0875893,14719692.0,325.0,363.0,
1691507137.0885773,14721260.0,324.0,356.0,
1691507137.0885773,14722828.0,323.0,348.0,
1691507137.0885773,14724400.0,321.0,332.0,
1691507137.0885773,14725968.0,318.0,329.0,
1691507137.089575,14727536.0,317.0,318.0,
1691507137.089575,14729108.0,316.0,315.0,
1691507137.089575,14730676.0,315.0,321.0,
1691507137.0905745,14732244.0,317.0,328.0,
1691507137.0905745,14733816.0,318.0,345.0,
1691507137.0905745,14735388.0,321.0,363.0,
1691507137.091574,14736952.0,324.0,370.0,
1691507137.091574,14738520.0,325.0,370.0,
1691507137.091574,14740092.0,324.0,367.0,
1691507137.091574,14741664.0,324.0,355.0,
1691507137.092574,14743232.0,323.0,346.0,
1691507137.092574,14744800.0,320.0,338.0,
1691507137.092574,14746368.0,324.0,308.0,
1691507137.0935757,14747940.0,321.0,303.0,
1691507137.0935757,14749508.0,317.0,319.0,
1691507137.0935757,14751076.0,317.0,325.0,
1691507137.0935757,14752648.0,314.0,333.0,
1691507137.0945735,14754216.0,317.0,349.0,
1691507137.0945735,14755784.0,321.0,359.0,
1691507137.0945735,14757356.0,323.0,364.0,
1691507137.095574,14758932.0,324.0,369.0,
1691507137.095574,14760492.0,325.0,363.0,
1691507137.095574,14762064.0,323.0,368.0,
1691507137.095574,14763632.0,329.0,320.0,
1691507137.0965729,14765204.0,321.0,323.0,
1691507137.0965729,14766772.0,318.0,324.0,
1691507137.0965729,14768340.0,317.0,316.0,
1691507137.1524434,14769912.0,315.0,317.0,
1691507137.1534536,14771480.0,314.0,324.0,
1691507137.1534536,14773048.0,317.0,331.0,
1691507137.1534536,14774616.0,319.0,351.0,
1691507137.1544535,14776188.0,320.0,364.0,
1691507137.1544535,14777756.0,324.0,371.0,
1691507137.1544535,14779328.0,323.0,372.0,
1691507137.1544535,14780896.0,324.0,362.0,
1691507137.155454,14782472.0,324.0,353.0,
1691507137.155454,14784036.0,323.0,339.0,
1691507137.155454,14785604.0,320.0,321.0,
1691507137.1564538,14787172.0,317.0,319.0,
1691507137.1564538,14788744.0,316.0,314.0,
1691507137.1564538,14790312.0,317.0,315.0,
1691507137.1564538,14791880.0,316.0,328.0,
1691507137.1574533,14793452.0,317.0,344.0,
1691507137.1574533,14795020.0,322.0,357.0,
1691507137.1574533,14796588.0,328.0,351.0,
1691507137.1584537,14798160.0,325.0,361.0,
1691507137.1584537,14799728.0,324.0,372.0,
1691507137.1584537,14801296.0,325.0,367.0,
1691507137.1584537,14802868.0,323.0,359.0,
