global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Touch sensor 3 (ring finger),Touch sensor 2 (middle finger),Touch sensor 1 (index finger)
1694001872.7526226,70870984.0,328.0,333.0,0.0,0.0,0.0
1694001872.753622,70873076.0,329.0,333.0,0.0,0.0,0.0
1694001872.753622,70875168.0,344.0,336.0,0.0,0.0,0.0
1694001872.7546225,70877264.0,323.0,329.0,0.0,0.0,0.0
1694001872.7556224,70879356.0,302.0,321.0,0.0,0.0,0.0
1694001872.7556224,70881448.0,337.0,312.0,0.0,0.0,0.0
1694001872.756624,70883540.0,299.0,323.0,0.0,0.0,0.0
1694001872.757622,70885632.0,362.0,324.0,0.0,0.0,0.0
1694001872.757622,70887724.0,311.0,325.0,0.0,0.0,0.0
1694001872.7586231,70889816.0,302.0,325.0,0.0,0.0,0.0
1694001872.7586231,70891908.0,319.0,330.0,0.0,0.0,0.0
1694001872.759622,70894004.0,323.0,336.0,0.0,0.0,0.0
1694001872.759622,70896092.0,325.0,330.0,0.0,0.0,0.0
1694001872.760622,70898184.0,321.0,328.0,0.0,0.0,0.0
1694001872.760622,70900280.0,331.0,323.0,0.0,0.0,0.0
1694001872.7616222,70902372.0,341.0,322.0,0.0,0.0,0.0
1694001872.7616222,70904464.0,335.0,325.0,0.0,0.0,0.0
1694001872.7626219,70906556.0,327.0,323.0,0.0,0.0,0.0
1694001872.763622,70908652.0,328.0,325.0,0.0,0.0,0.0
1694001872.763622,70910740.0,326.0,327.0,0.0,0.0,0.0
1694001872.764622,70912832.0,326.0,327.0,0.0,0.0,0.0
1694001872.764622,70914928.0,323.0,331.0,0.0,0.0,0.0
1694001872.7656295,70917020.0,327.0,332.0,0.0,0.0,0.0
1694001872.7656295,70919112.0,334.0,321.0,0.0,0.0,0.0
1694001872.7666223,70921204.0,329.0,330.0,1.0,0.0,0.0
1694001872.7666223,70923296.0,324.0,328.0,1.0,0.0,0.0
1694001872.7676222,70925388.0,340.0,318.0,1.0,0.0,0.0
1694001872.7676222,70927484.0,346.0,322.0,1.0,0.0,0.0
1694001872.7686224,70929576.0,311.0,322.0,1.0,0.0,0.0
1694001872.7696226,70931668.0,319.0,325.0,1.0,0.0,0.0
1694001872.7696226,70933760.0,313.0,332.0,1.0,0.0,0.0
1694001872.811534,70935852.0,297.0,332.0,1.0,0.0,0.0
1694001872.8125339,70937944.0,350.0,327.0,1.0,0.0,0.0
1694001872.8125339,70940036.0,315.0,332.0,1.0,0.0,0.0
1694001872.8135343,70942128.0,332.0,328.0,1.0,0.0,0.0
1694001872.8145337,70944220.0,334.0,318.0,1.0,0.0,0.0
