global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),Load sensor value (3)
1692803855.5274916,493244796.0,311.0,346.0,241082.0
1692803855.5274916,493247324.0,352.0,344.0,241082.0
1692803855.5274916,493249852.0,298.0,343.0,241082.0
1692803855.5284915,493252380.0,305.0,323.0,241082.0
1692803855.5284915,493254912.0,312.0,318.0,241082.0
1692803855.5284915,493257440.0,329.0,330.0,240508.0
1692803855.529491,493260244.0,330.0,330.0,240508.0
1692803855.529491,493262772.0,344.0,334.0,240508.0
1692803855.529491,493265304.0,363.0,330.0,240508.0
1692803855.5304923,493267832.0,301.0,322.0,240508.0
1692803855.5304923,493270360.0,325.0,302.0,240508.0
1692803855.5304923,493272888.0,329.0,315.0,240508.0
1692803855.5314915,493275416.0,307.0,327.0,240508.0
1692803855.5314915,493277944.0,329.0,330.0,240508.0
1692803855.5314915,493280476.0,336.0,329.0,240508.0
1692803855.589074,493283004.0,325.0,337.0,240508.0
1692803855.5900764,493285528.0,340.0,325.0,240508.0
1692803855.5910745,493288060.0,361.0,330.0,240508.0
1692803855.5910745,493290588.0,302.0,324.0,240508.0
1692803855.5920749,493293116.0,306.0,334.0,240508.0
1692803855.5920749,493295644.0,312.0,314.0,240508.0
1692803855.5920749,493298172.0,336.0,327.0,240508.0
1692803855.5930743,493300700.0,330.0,326.0,240508.0
1692803855.5930743,493303228.0,335.0,310.0,240508.0
1692803855.594074,493305756.0,331.0,328.0,240508.0
1692803855.594074,493308288.0,357.0,335.0,240508.0
1692803855.5950737,493310816.0,281.0,362.0,240508.0
1692803855.5950737,493313344.0,323.0,289.0,240508.0
1692803855.5960746,493315872.0,316.0,304.0,240508.0
1692803855.5960746,493318400.0,297.0,320.0,240508.0
